Actividad Lúdico Cultural;1
Instrucción y Promoción cultural;2
Expresión de talentos;3
Promoción de la interculturalidad;4
Cultura y academica;5
Actividad Lúdico-Deportiva;6
Actividad Lúdico Deportiva;6
Acondicionamiento Físico e Instrucción Deportiva ;7
Deporte de Competencia;8
Deporte de Alto Rendimiento;9
Proyectos Estratégicos en Actividad Física y Deporte;10
Gestión Económica;11
Gestión para el Alojamiento;12
Gestión Alimentaria;13
Gestión para el Transporte;14
Inducción y Preparación para el Cambio;15
Acompañamiento en la Vida Universitaria;16
Puntos de Contacto;17
Gestión de Proyectos;18
Desarrollo del Potencial Humano;19
Convivencia y Cotidianidad;20
Otro;21
Disminución de Factores de Riesgo en la comunidad universitaria;22
DISMINUCION DE FACTORES DE RIESGO;22
Gestión en Salud;23
GESTION EN SALUD;23
Apoyo para la Atención Primaria y de Emergencias;24
APOYO PARA LA ATENCION PRIMARIA Y DE EMERGENCIAS;24
PyP;25
PINHAS;26
Inducción Estudiantil y Preparación para el Cambio;27
Apoyo Alimentario;28
Apoyo Alojamiento;29
Apoyo Transporte;30
ATENCIÓN PRIORITARIA;32
PROMOCIÓN Y PREVENCIÓN;34
PROMOCIÓN DE LA SALUD Y PREVENCIÓN DE LA ENFERMEDAD;35
PROMOCION DE LA SALUD Y PREVENCION DE LA ENFERMEDAD;35
Instrucción y Promoción Cultural;2
Promoción de la Interculturalidad;4
Expresión de Talentos;3
28;28
29;29
30;30
APOYO PARA LA ATENCIÓN PRIMARIA Y DE EMERGENCIAS;31
GESTIÓN EN SALUD;33